not_sold,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,num_bed,year_built,longitude,latitude,num_room,num_bath,living_area,house,plex,chalet,loft,condo,num_parking,accessible_buildings,family_quality,art_expos,emergency_shelters,emergency_water,Facilities,fire_stations,Cultural,Monuments,police_stations,Vacant,Free_Parking,askprice
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005,-73.616994622753910000,45.542667428997056000,3,1,50.82,0,0,0,0,1,0,5,176,209,37,274,210,43,71,43,25,43,52,166000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2005,-73.665354799999990000,45.428590500000000000,4,2,102.01,0,0,0,0,1,1,3,56,85,19,120,1,15,24,5,7,0,4,349000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1988,-73.571262800000000000,45.600799300000000000,5,1,92.53,0,0,0,0,1,1,5,139,122,27,191,155,28,54,32,18,19,43,224900
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-73.734174800000000000,45.521694400000000000,12,2,0,1,0,0,0,0,0,3,22,21,10,82,0,13,10,2,5,0,1,585000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,-73.560891200000010000,45.527532699999990000,4,1,75.34,0,0,0,0,1,0,5,169,210,30,238,216,37,66,42,20,43,52,312900
1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1953,-73.701139599999970000,45.531549100000000000,11,3,168.15,1,0,0,0,0,0,5,61,39,16,126,0,20,22,8,10,0,12,485000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2011,-73.652367435937490000,45.496708149061030000,4,1,72.00,0,0,0,0,1,1,6,127,201,32,236,104,35,60,27,21,29,40,286000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1910,-73.571850900000020000,45.524258499999990000,6,2,133.04,0,0,0,0,1,0,4,172,211,31,251,216,39,69,42,22,43,53,725000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-73.592305099999980000,45.434760399999990000,0,2,0,0,1,0,0,0,0,4,81,191,21,147,158,22,44,26,13,36,28,439000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-73.619123599999970000,45.604838600000000000,0,2,0,0,1,0,0,0,0,3,115,68,21,162,5,25,37,20,15,2,41,515000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-73.612352900000020000,45.494131000000000000,5,1,83.61,0,0,0,0,1,1,5,161,258,35,285,216,39,74,45,23,43,53,278000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-73.548957799999980000,45.540615700000000000,0,1,0,0,1,0,0,0,0,5,148,201,27,214,216,34,59,41,19,43,51,479000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,-73.504976800000010000,45.677597600000000000,7,1,127.09,1,0,0,0,0,0,3,35,7,9,31,0,7,8,0,3,0,0,329500
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012,-73.544827400000030000,45.549919500000000000,4,1,62.62,0,0,0,0,1,0,7,141,195,26,190,216,34,56,40,18,43,50,225000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1923,-73.618473000000000000,45.519103700000000000,5,1,114.92,0,0,0,0,1,0,5,169,228,35,293,215,44,77,44,23,43,53,509000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2009,-73.805238199999960000,45.492154700000000000,8,2,109.81,0,0,0,0,1,1,3,13,7,13,61,0,10,3,0,4,0,0,359000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2002,-73.553805500000010000,45.499027600000000000,4,1,78.97,0,0,0,0,1,1,4,133,207,25,199,216,34,61,41,18,43,49,420000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1966,-73.893446100000000000,45.430751800000000000,10,2,120.77,1,0,0,0,0,0,1,10,3,14,50,0,8,1,0,3,0,0,529000
